metric,value
mode,PT-ECMP
sent,400
received,400
reorder_events,0
reorder_pct,0.00
avg_delay_ms,0.07
min_delay_ms,0.01
max_delay_ms,0.16
jitter_ms,0.00
throughput_mbps,0.01
path0_pkts,128
path1_pkts,128
path2_pkts,80
path3_pkts,64
