metric,value
topology,k4-fat-tree
mode,PT-ECMP
sent,400
received,400
reorder_events,0
reorder_pct,0.00
avg_delay_ms,0.07
min_delay_ms,0.02
max_delay_ms,0.16
jitter_ms,0.00
throughput_mbps,0.01
core0_pkts,128
core1_pkts,128
core2_pkts,80
core3_pkts,64
