metric,value
mode,Packet-Spraying
traffic_model,Pareto-OnOff
num_senders,4
num_receivers,4
total_sent,3200
total_received,3200
reorder_events,2062
reorder_pct,64.44
avg_delay_ms,0.08
avg_jitter_ms,0.07
path0_pkts,800
path1_pkts,800
path2_pkts,800
path3_pkts,800
