metric,value
topology,k4-fat-tree
mode,Flowlet-Switching
sent,400
received,400
reorder_events,0
reorder_pct,0.00
avg_delay_ms,0.09
min_delay_ms,0.02
max_delay_ms,0.16
jitter_ms,0.00
throughput_mbps,0.01
core0_pkts,112
core1_pkts,96
core2_pkts,96
core3_pkts,96
