metric,value
mode,LetFlow
traffic_model,Pareto-OnOff
num_senders,4
num_receivers,4
total_sent,3200
total_received,3200
reorder_events,0
reorder_pct,0.00
avg_delay_ms,0.08
avg_jitter_ms,0.00
path0_pkts,768
path1_pkts,768
path2_pkts,832
path3_pkts,832
