metric,value
mode,Flowlet-Switching
sent,400
received,400
reorder_events,0
reorder_pct,0.00
avg_delay_ms,0.08
min_delay_ms,0.01
max_delay_ms,0.16
jitter_ms,0.00
throughput_mbps,0.01
path0_pkts,112
path1_pkts,96
path2_pkts,96
path3_pkts,96
