arrival_order,seq,delay_ms
353,360,0.0150
354,347,0.1630
355,357,0.0639
356,354,0.1130
357,364,0.0150
358,351,0.1630
359,361,0.0639
360,358,0.1130
361,368,0.0150
362,355,0.1630
363,365,0.0639
364,362,0.1130
365,372,0.0150
366,359,0.1630
367,369,0.0639
368,366,0.1130
369,376,0.0150
370,363,0.1630
371,373,0.0639
372,370,0.1130
373,380,0.0150
374,367,0.1630
375,377,0.0639
376,374,0.1130
377,384,0.0150
378,371,0.1630
379,381,0.0639
380,378,0.1130
381,388,0.0150
382,375,0.1630
383,385,0.0639
384,382,0.1130
385,392,0.0150
386,379,0.1630
387,389,0.0639
388,386,0.1130
389,396,0.0150
390,383,0.1630
391,393,0.0639
392,390,0.1130
393,387,0.1630
394,397,0.0639
395,394,0.1130
396,391,0.1630
397,398,0.1130
398,395,0.1630
399,399,0.1630
